n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
8,0.8,0.2,baseline,2,22,0.7879887223243713,22,0.3299140930175781,0.008802836760878563,0.6583601832389832,0.2530129849910736,7.225539207458496
8,0.8,0.2,baseline,2,38,0.14601582288742065,38,0.8947591781616211,0.06320913881063461,0.6840565204620361,0.2588614821434021,7.211527347564697
8,0.8,0.2,baseline,2,39,0.1314142495393753,39,0.31259796023368835,0.00771860359236598,0.6815698146820068,0.2680920958518982,6.994351387023926
8,0.8,0.2,baseline,2,40,0.1182728186249733,40,0.7473495602607727,0.04411091282963753,0.6839327216148376,0.2641311287879944,7.0768656730651855
8,0.8,0.2,baseline,2,44,0.07759878784418106,44,0.8052060604095459,0.05115247517824173,0.684025764465332,0.2715233564376831,6.936777114868164
8,0.8,0.2,baseline,2,45,0.06983890384435654,45,0.8818144798278809,0.061952605843544006,0.68145352602005,0.2546510398387909,7.283734321594238
8,0.8,0.2,baseline,2,48,0.050912562757730484,48,0.4122862219810486,0.013425428420305252,0.6830833554267883,0.2626062333583832,7.11065673828125
8,0.8,0.2,baseline,2,52,0.033403728157281876,52,0.7140790224075317,0.0407070554792881,0.6805956959724426,0.2615543007850647,7.103928089141846
8,0.8,0.2,baseline,2,55,0.024351315572857857,55,0.7933701276779175,0.05013258010149002,0.6815372705459595,0.2637709379196167,7.122278213500977
8,0.8,0.2,baseline,2,56,0.021916182711720467,56,0.4943857491016388,0.019294045865535736,0.6834747791290283,0.2614973187446594,7.1238789558410645
8,0.8,0.2,baseline,2,58,0.017752105370163918,58,0.35558632016181946,0.009992185980081558,0.6814737915992737,0.26185232400894165,7.096167087554932
8,0.8,0.2,baseline,2,59,0.01597689650952816,59,0.775725245475769,0.04751073196530342,0.6840449571609497,0.2657707929611206,7.038654804229736
8,0.8,0.2,baseline,2,61,0.012941285036504269,61,0.5256175994873047,0.02207767218351364,0.6801270842552185,0.27218759059906006,6.981956958770752
8,0.8,0.2,baseline,2,63,0.010482440702617168,63,0.6863454580307007,0.03720321133732796,0.6838448643684387,0.268310010433197,7.0141072273254395
8,0.8,0.2,baseline,2,67,0.006877528503537178,67,0.6749972701072693,0.03630739450454712,0.6813470721244812,0.26019105315208435,7.103977680206299
8,0.8,0.2,baseline,2,69,0.005570797715336084,69,0.6599366664886475,0.03471478074789047,0.6808118224143982,0.2722359597682953,6.932835102081299
8,0.8,0.2,baseline,2,70,0.00501371780410409,70,0.3976174294948578,0.012738372199237347,0.6767239570617676,0.25753435492515564,7.138188362121582
8,0.8,0.2,baseline,2,71,0.004512345883995295,71,0.672981858253479,0.036122288554906845,0.680653989315033,0.2808367609977722,6.784561634063721
8,0.8,0.2,baseline,2,72,0.004061111249029636,72,0.5697639584541321,0.025934992358088493,0.6803231835365295,0.2712571322917938,6.970887660980225
8,0.8,0.2,baseline,2,73,0.003654999891296029,73,0.5833148956298828,0.027162183076143265,0.6806080937385559,0.2514367997646332,7.284804821014404
8,0.8,0.2,baseline,2,75,0.0029605496674776077,75,0.33941641449928284,0.009292093105614185,0.6756637692451477,0.2678110897541046,6.999035358428955
8,0.8,0.2,baseline,2,76,0.0026644947938621044,76,0.858272910118103,0.058709632605314255,0.6812692284584045,0.2708547115325928,6.99567174911499
8,0.8,0.2,baseline,2,77,0.0023980452679097652,77,0.7482985258102417,0.04461175948381424,0.6809634566307068,0.24692608416080475,7.380314826965332
8,0.8,0.2,input_at,0,0,8.001750946044922,0,1.9401917457580566,0.7160298824310303,0.02416742593050003,0.4837609529495239,3.3491413593292236
8,0.8,0.2,input_at,0,1,7.201575756072998,1,1.637721300125122,0.5442982316017151,0.07443719357252121,0.39614054560661316,4.105551719665527
8,0.8,0.2,input_at,0,3,5.83327579498291,3,1.6310087442398071,0.5274937748908997,0.08346562087535858,0.6114823818206787,2.4276418685913086
8,0.8,0.2,input_at,0,4,5.249948024749756,4,1.0385993719100952,0.48891139030456543,0.03121311403810978,0.5619445443153381,2.7218594551086426
8,0.8,0.2,input_at,0,5,4.7249531745910645,5,1.1784945726394653,0.4414702355861664,0.032984331250190735,0.5624788999557495,2.717928647994995
8,0.8,0.2,input_at,0,6,4.252457618713379,6,1.2174067497253418,0.39303088188171387,0.05155082419514656,0.5429005026817322,2.860487699508667
8,0.8,0.2,input_at,0,7,3.82721209526062,7,1.7197099924087524,0.46891042590141296,0.058233875781297684,0.41837078332901,3.932429552078247
8,0.8,0.2,input_at,0,8,3.444490671157837,8,0.32654768228530884,0.017771832644939423,0.2517510652542114,0.30302244424819946,4.722597599029541
8,0.8,0.2,input_at,0,9,3.100041389465332,9,0.5049387216567993,0.04479505866765976,0.1413649618625641,0.29701438546180725,4.708429336547852
8,0.8,0.2,input_at,0,10,2.7900373935699463,10,0.7754015922546387,0.19409213960170746,0.03783610090613365,0.44458502531051636,3.6722052097320557
8,0.8,0.2,input_at,0,11,2.511033535003662,11,0.3621939420700073,0.016586290672421455,0.26513439416885376,0.3017657399177551,4.679683685302734
8,0.8,0.2,input_at,0,13,2.0339369773864746,13,1.112637996673584,0.20698775351047516,0.049486659467220306,0.34512338042259216,4.545619964599609
8,0.8,0.2,input_at,0,14,1.8305432796478271,14,0.7821729183197021,0.06683193892240524,0.2214938849210739,0.31079408526420593,4.684662342071533
8,0.8,0.2,input_at,0,15,1.6474888324737549,15,0.6027185320854187,0.06233271583914757,0.24598795175552368,0.30702337622642517,4.782078742980957
8,0.8,0.2,input_at,0,17,1.3344659805297852,17,1.7608888149261475,0.29841503500938416,0.214462012052536,0.3146621286869049,4.659193992614746
8,0.8,0.2,input_at,0,18,1.2010194063186646,18,0.3757246434688568,0.023828091099858284,0.24371811747550964,0.3016497492790222,4.777889251708984
8,0.8,0.2,input_at,0,19,1.0809173583984375,19,0.6302588582038879,0.047045838087797165,0.26506760716438293,0.2940787374973297,4.7364044189453125
8,0.8,0.2,input_at,0,22,0.7879887223243713,22,0.6635054349899292,0.0537174828350544,0.23874524235725403,0.308901309967041,4.587962627410889
