feature,reliance_freq,mean_act,interference,self_effect,collateral,n_active_tok
2269,0.008070866577327251,7.613358020782471,0.002883783308789134,-0.05031656473875046,0.0008927318849600852,41
2298,0.014763779938220978,7.295674800872803,0.0025425301864743233,0.07008986175060272,-0.0014017168432474136,75
2317,0.01673228293657303,9.674764633178711,0.0017388283740729094,0.020441649481654167,0.0005738649051636457,85
2338,0.007874015718698502,413.643310546875,0.001379665918648243,0.16321150958538055,0.05797170102596283,40
2358,0.017716536298394203,7.715936183929443,0.002358399797230959,0.012075751088559628,-0.0033855282235890627,90
2373,0.051377952098846436,4.923597812652588,0.003028871724382043,9.413240331923589e-05,0.00952904298901558,261
2394,0.006102362181991339,3.462411403656006,0.00272956769913435,-0.013020079582929611,0.0010656422236934304,31
2409,0.012204724363982677,9.680079460144043,0.0026531589683145285,0.2239772081375122,0.0076215690933167934,62
2428,0.006692913360893726,7.671182155609131,0.001547333667986095,-0.028372200205922127,-0.00022815202828496695,34
2440,0.01751968450844288,6.810702323913574,0.002469773171469569,-0.03407789766788483,0.01919601671397686,89
2456,0.008070866577327251,9.468881607055664,0.0030521878506988287,0.14157621562480927,0.003917080350220203,41
2471,0.007874015718698502,393.50836181640625,0.0018221777863800526,2.199338436126709,0.08277949690818787,40
2491,0.007283464539796114,7.678990364074707,0.004126302432268858,0.2381463646888733,0.01393146812915802,37
2513,0.2549212574958801,10.088191986083984,0.0021050614304840565,0.08119532465934753,-0.0009226777474395931,1295
2527,0.007086614146828651,4.968231201171875,0.0017616659170016646,-0.013167249038815498,0.0002623045293148607,36
2539,0.06417322903871536,5.171889781951904,0.002094461116939783,0.0014098891988396645,0.0009799109539017081,326
2553,0.007677165325731039,23.465084075927734,0.0029070191085338593,0.11398923397064209,0.0058402023278176785,39
2568,0.013188976794481277,6.142419815063477,0.002535274950787425,0.006812604609876871,-0.000894045049790293,67
2585,0.015354330651462078,5.472803592681885,0.002437242539599538,3.448931238381192e-05,-0.0025264625437557697,78
2604,0.005708661396056414,5.5324907302856445,0.0017203225288540125,0.01270260475575924,0.001924651674926281,29
2628,0.007677165325731039,9.089017868041992,0.003135685110464692,0.027103427797555923,0.026113269850611687,39
2641,0.010433071292936802,17.903196334838867,0.002424987033009529,0.3399122953414917,0.016768647357821465,53
2668,0.012204724363982677,5.801794052124023,0.003178499871864915,0.027803150936961174,0.0001385868526995182,62
2698,0.006692913360893726,6.024431228637695,0.0019654075149446726,0.004480662755668163,0.00875572394579649,34
2732,0.022440945729613304,9.316515922546387,0.0024477005936205387,-0.020657476037740707,0.00286855548620224,114
2754,0.26279526948928833,9.964969635009766,0.002015922451391816,1.0555967092514038,1.1745115518569946,1335
2764,0.012401575222611427,11.152362823486328,0.0033419113606214523,0.2767714262008667,-0.004199978895485401,63
2786,0.10649606585502625,12.869911193847656,0.0032354050781577826,-0.0820792093873024,0.045975461602211,541
2799,0.006299212574958801,9.054268836975098,0.0020448227878659964,0.03539035841822624,-0.0005972158978693187,32
2826,0.005118110217154026,21.796113967895508,0.0015546309296041727,0.5466026663780212,0.01133707258850336,26
2842,0.008661417290568352,7.980885028839111,0.0018201328348368406,0.0017521005356684327,0.007483800407499075,44
2862,0.06535433232784271,7.071013927459717,0.004638338461518288,0.06166350096464157,0.03523470088839531,332
2881,0.010236220434308052,6.977461814880371,0.0024542552419006824,0.03488548845052719,0.005399017594754696,52
2897,0.005708661396056414,7.786118984222412,0.0037534250877797604,0.32558077573776245,0.0008003023685887456,29
2915,0.007874015718698502,483.72125244140625,0.0014029133599251509,1.5154979228973389,0.05104408413171768,40
2938,0.03366141766309738,4.786239147186279,0.0022933867294341326,0.0100434310734272,0.0019921953789889812,171
2954,0.07637795060873032,5.2225518226623535,0.0025020502507686615,0.0304652638733387,0.003922534175217152,388
2976,0.005511811003088951,6.983743190765381,0.0022003462072461843,0.042181771248579025,0.012258543632924557,28
2997,0.01594488136470318,5.020972728729248,0.0024291672743856907,-0.02964077517390251,0.0002739650954026729,81
3014,0.05196850374341011,5.48408842086792,0.003895288333296776,0.06627610325813293,0.01574653573334217,264
3027,0.011614173650741577,4.170316219329834,0.002518394961953163,0.050931911915540695,0.04614388942718506,59
3067,0.010826772078871727,7.3561625480651855,0.0023292703554034233,0.0848950445652008,7.739799912087619e-05,55
