n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,baseline,2,1,0.8971994519233704,0.02002326399087906,0.8097348809242249,1.1519485712051392,4.5077405957272276e-05,17
2,0.8,baseline,2,2,1.3080976009368896,0.05614893510937691,0.5133845210075378,1.0087486505508423,0.06071917712688446,17
2,0.8,baseline,2,3,1.3613742589950562,0.0546204037964344,0.5341632962226868,0.9990824460983276,0.061355747282505035,17
2,0.8,baseline,2,4,1.3815782070159912,0.05532975494861603,0.4951041340827942,1.0105639696121216,0.06241905316710472,17
2,0.8,baseline,2,5,1.3768068552017212,0.05531579628586769,0.4917283058166504,0.9991804957389832,0.06315777450799942,17
2,0.8,baseline,2,6,1.3664661645889282,0.05507361888885498,0.5004028677940369,1.0048577785491943,0.061240218579769135,17
2,0.8,baseline,2,7,1.4485925436019897,0.05623658001422882,0.5247364640235901,1.0451850891113281,0.058910515159368515,17
2,0.8,baseline,2,8,1.398803949356079,0.05493929982185364,0.5081850290298462,1.0389842987060547,0.06221901625394821,17
2,0.8,baseline,2,9,1.317422866821289,0.05434891954064369,0.49675628542900085,1.0302855968475342,0.06277945637702942,17
2,0.8,baseline,2,10,1.3068699836730957,0.05433788523077965,0.48885229229927063,1.006068229675293,0.06430082768201828,17
2,0.8,baseline,2,11,1.3366645574569702,0.05508889630436897,0.4787217378616333,0.9819365739822388,0.06266678124666214,17
2,0.8,baseline,2,12,1.2334532737731934,0.05615251883864403,0.45671704411506653,0.9742988348007202,0.06291469186544418,17
2,0.8,baseline,2,13,1.3584100008010864,0.054849158972501755,0.47944748401641846,0.997703492641449,0.06487000733613968,17
2,0.8,baseline,2,14,0.8661696910858154,0.17112140357494354,0.6573378443717957,1.1049189567565918,0.00017963422578759491,17
2,0.8,baseline,2,16,1.2468847036361694,0.05468521639704704,0.4479576051235199,0.9834154844284058,0.06227840483188629,17
2,0.8,baseline,2,19,1.3418265581130981,0.05640826001763344,0.4497791528701782,0.9434519410133362,0.0651869848370552,17
2,0.8,baseline,3,0,1.0842024087905884,0.0639849379658699,0.6870190501213074,1.204027533531189,0.0009670923464000225,18
2,0.8,baseline,3,1,1.4787054061889648,0.08207432925701141,0.47185611724853516,1.0267760753631592,0.06040673330426216,18
2,0.8,baseline,3,2,1.0619877576828003,0.02065850794315338,0.7526979446411133,1.1608784198760986,0.00038406075327657163,18
2,0.8,baseline,3,3,1.3094347715377808,0.055098552256822586,0.49318814277648926,1.0375261306762695,0.0585361085832119,18
2,0.8,baseline,3,4,1.3037275075912476,0.055073969066143036,0.48896661400794983,0.9986969232559204,0.06085972860455513,18
