n_over_m,sparsity,condition,seed,k_active,fvu_old
4,0.9,input_at,4,8,0.5763306021690369
4,0.9,input_at,4,16,0.8083274364471436
4,0.9,lat,0,1,0.1990046501159668
4,0.9,lat,0,2,0.2614682912826538
4,0.9,lat,0,4,0.37747642397880554
4,0.9,lat,0,8,0.5804409980773926
4,0.9,lat,0,16,0.85697340965271
4,0.9,lat,1,1,0.21118757128715515
4,0.9,lat,1,2,0.26004353165626526
4,0.9,lat,1,4,0.38020777702331543
4,0.9,lat,1,8,0.5818308591842651
4,0.9,lat,1,16,0.8510774970054626
4,0.9,lat,2,1,0.19638265669345856
4,0.9,lat,2,2,0.26117661595344543
4,0.9,lat,2,4,0.3802134692668915
4,0.9,lat,2,8,0.5735194683074951
4,0.9,lat,2,16,0.857027530670166
4,0.9,lat,3,1,0.22992204129695892
4,0.9,lat,3,2,0.2725153863430023
4,0.9,lat,3,4,0.3832384943962097
4,0.9,lat,3,8,0.5794087052345276
4,0.9,lat,3,16,0.8488267064094543
4,0.9,lat,4,1,0.2182619720697403
4,0.9,lat,4,2,0.25202926993370056
4,0.9,lat,4,4,0.3807312250137329
4,0.9,lat,4,8,0.5842177867889404
4,0.9,lat,4,16,0.8554115295410156
8,0.9,baseline,0,1,0.758253276348114
8,0.9,baseline,0,2,0.6444171667098999
8,0.9,baseline,0,4,0.6456957459449768
8,0.9,baseline,0,8,0.7088558673858643
8,0.9,baseline,0,16,0.8394290208816528
8,0.9,baseline,1,1,0.7619704008102417
8,0.9,baseline,1,2,0.6382185816764832
8,0.9,baseline,1,4,0.6454434394836426
8,0.9,baseline,1,8,0.7024368047714233
8,0.9,baseline,1,16,0.8405110239982605
8,0.9,baseline,2,1,0.7016381025314331
8,0.9,baseline,2,2,0.6678094863891602
8,0.9,baseline,2,4,0.6477103233337402
8,0.9,baseline,2,8,0.7022058367729187
8,0.9,baseline,2,16,0.8355368971824646
8,0.9,baseline,3,1,0.7627149224281311
8,0.9,baseline,3,2,0.6558672785758972
8,0.9,baseline,3,4,0.640625
8,0.9,baseline,3,8,0.7014997005462646
8,0.9,baseline,3,16,0.8336217403411865
8,0.9,baseline,4,1,0.8285602331161499
8,0.9,baseline,4,2,0.6893524527549744
8,0.9,baseline,4,4,0.6366330981254578
8,0.9,baseline,4,8,0.6943251490592957
8,0.9,baseline,4,16,0.828196108341217
8,0.9,input_at,0,1,0.812735378742218
8,0.9,input_at,0,2,0.7569470405578613
8,0.9,input_at,0,4,0.756367027759552
8,0.9,input_at,0,8,0.774432897567749
8,0.9,input_at,0,16,0.8048184514045715
8,0.9,input_at,1,1,0.9419420957565308
8,0.9,input_at,1,2,0.786279559135437
8,0.9,input_at,1,4,0.7637689113616943
8,0.9,input_at,1,8,0.7577428817749023
8,0.9,input_at,1,16,0.8181224465370178
8,0.9,input_at,2,1,0.7886983156204224
8,0.9,input_at,2,2,0.7778838872909546
8,0.9,input_at,2,4,0.7575789093971252
8,0.9,input_at,2,8,0.7684853076934814
8,0.9,input_at,2,16,0.8116172552108765
8,0.9,input_at,3,1,0.9871559143066406
8,0.9,input_at,3,2,0.8261833786964417
8,0.9,input_at,3,4,0.7744157314300537
8,0.9,input_at,3,8,0.7630727887153625
8,0.9,input_at,3,16,0.8158376812934875
8,0.9,input_at,4,1,1.0172779560089111
8,0.9,input_at,4,2,0.8315762281417847
8,0.9,input_at,4,4,0.7571789026260376
8,0.9,input_at,4,8,0.753679633140564
8,0.9,input_at,4,16,0.8102394938468933
8,0.9,lat,0,1,0.7923427224159241
8,0.9,lat,0,2,0.681831419467926
8,0.9,lat,0,4,0.6778605580329895
8,0.9,lat,0,8,0.7199433445930481
8,0.9,lat,0,16,0.826218843460083
8,0.9,lat,1,1,0.8196451663970947
8,0.9,lat,1,2,0.6799610257148743
8,0.9,lat,1,4,0.6864417195320129
8,0.9,lat,1,8,0.7171870470046997
8,0.9,lat,1,16,0.8197238445281982
8,0.9,lat,2,1,0.7469775676727295
8,0.9,lat,2,2,0.6980586051940918
8,0.9,lat,2,4,0.6755610704421997
8,0.9,lat,2,8,0.7180501222610474
8,0.9,lat,2,16,0.817969799041748
8,0.9,lat,3,1,0.8040984869003296
8,0.9,lat,3,2,0.6879622936248779
8,0.9,lat,3,4,0.6668310165405273
8,0.9,lat,3,8,0.7100805044174194
8,0.9,lat,3,16,0.8207279443740845
8,0.9,lat,4,1,0.8581833839416504
8,0.9,lat,4,2,0.7108513116836548
8,0.9,lat,4,4,0.6550188660621643
8,0.9,lat,4,8,0.7009972929954529
