n,m,n_over_m,sparsity,condition,seed,feature,w_norm,represented,D_groundtruth,top1_evr,pr,r_set1,r_set2,sat_set1,sat_set2
40,10,4,0.99,input_at,3,30,0.9006174802780151,1,0.146279975771904,0.7060908079147339,1.9341020584106445,0.1722862273454666,0.6582297682762146,0.0,0.0
40,10,4,0.99,input_at,3,31,0.35027772188186646,1,0.022549454122781754,0.2977539002895355,5.309829235076904,0.43216007947921753,1.6702793836593628,0.0,0.0
40,10,4,0.99,input_at,3,32,0.02014252543449402,0,0.00010951694275718182,0.3255130648612976,4.620547294616699,3.350597858428955,3.350597858428955,1.0,1.0
40,10,4,0.99,input_at,3,33,0.04016510397195816,0,0.0003966833755839616,0.3310263156890869,5.357140064239502,3.1576969623565674,3.1576969623565674,1.0,1.0
40,10,4,0.99,input_at,3,34,0.04085171967744827,0,0.0004348362854216248,0.2838168740272522,6.070527076721191,4.207211017608643,4.207211017608643,1.0,1.0
40,10,4,0.99,input_at,3,35,0.01579257659614086,0,6.006974945194088e-05,0.29417845606803894,4.607859134674072,2.348580837249756,2.348580837249756,1.0,1.0
40,10,4,0.99,input_at,3,36,0.012063086964190006,0,3.610869316617027e-05,0.3828738033771515,4.719367027282715,3.3588595390319824,3.3588595390319824,1.0,1.0
40,10,4,0.99,input_at,3,37,0.017528584226965904,0,7.985519187059253e-05,0.3213307857513428,5.0086588859558105,3.020179510116577,3.020179510116577,1.0,1.0
40,10,4,0.99,input_at,3,38,0.005234726704657078,0,7.384660420939326e-06,0.3232308626174927,5.423455238342285,2.8170242309570312,2.8170242309570312,1.0,1.0
40,10,4,0.99,input_at,3,39,0.0437978059053421,0,0.0005130319623276591,0.27952736616134644,5.148108959197998,3.408540725708008,3.408540725708008,1.0,1.0
40,10,4,0.99,input_at,4,0,1.3227757215499878,1,0.4279366135597229,0.8754009008407593,1.3004920482635498,0.1148187518119812,0.41370198130607605,0.0,0.0
40,10,4,0.99,input_at,4,1,1.281186580657959,1,0.41695722937583923,0.8000880479812622,1.5411882400512695,0.11534763127565384,0.42715099453926086,0.0,0.0
40,10,4,0.99,input_at,4,2,1.1131006479263306,1,0.36001816391944885,0.8118689060211182,1.4983652830123901,0.10321114212274551,0.4059520661830902,0.0,0.0
40,10,4,0.99,input_at,4,3,1.2039785385131836,1,0.35556793212890625,0.7964464426040649,1.5523864030838013,0.11666950583457947,0.4239957928657532,0.0,0.0
40,10,4,0.99,input_at,4,4,1.1003824472427368,1,0.3576379120349884,0.7577716112136841,1.7070685625076294,0.10429741442203522,0.37919533252716064,0.0,0.0
40,10,4,0.99,input_at,4,5,1.3192373514175415,1,0.3889447748661041,0.8371198177337646,1.4174469709396362,0.11408398300409317,0.4504960775375366,0.0,0.0
40,10,4,0.99,input_at,4,6,1.1884955167770386,1,0.35071176290512085,0.7219824194908142,1.864025592803955,0.11407873034477234,0.4252499043941498,0.0,0.0
40,10,4,0.99,input_at,4,7,1.1994014978408813,1,0.3415217697620392,0.7556995153427124,1.715828537940979,0.1125531792640686,0.42834433913230896,0.0,0.0
40,10,4,0.99,input_at,4,8,1.3496695756912231,1,0.3493322730064392,0.7998706102371216,1.5479693412780762,0.1482643038034439,0.4684400260448456,0.0,0.0
40,10,4,0.99,input_at,4,9,1.2923983335494995,1,0.3539082705974579,0.8249449729919434,1.4559024572372437,0.1299959123134613,0.4550512135028839,0.0,0.0
40,10,4,0.99,input_at,4,10,1.3244881629943848,1,0.34979984164237976,0.8057668209075928,1.5216580629348755,0.1067940965294838,0.4021933078765869,0.0,0.0
40,10,4,0.99,input_at,4,11,1.320163369178772,1,0.32430794835090637,0.8427250385284424,1.398713231086731,0.11683370918035507,0.4197078347206116,0.0,0.0
40,10,4,0.99,input_at,4,12,1.3097469806671143,1,0.3223571181297302,0.8074401617050171,1.5125014781951904,0.11423175036907196,0.40729019045829773,0.0,0.0
40,10,4,0.99,input_at,4,13,1.347283959388733,1,0.3228987455368042,0.8231062889099121,1.4653222560882568,0.11452658474445343,0.42705482244491577,0.0,0.0
40,10,4,0.99,input_at,4,14,1.4254794120788574,1,0.3352604806423187,0.9132537841796875,1.1963419914245605,0.13427652418613434,0.3940441608428955,0.0,0.0
40,10,4,0.99,input_at,4,15,1.2945157289505005,1,0.3303590714931488,0.8601903915405273,1.342505693435669,0.141557514667511,0.4857189357280731,0.0,0.0
40,10,4,0.99,input_at,4,16,1.5355361700057983,1,0.37461501359939575,0.8845046758651733,1.2740596532821655,0.124850794672966,0.43219664692878723,0.0,0.0
40,10,4,0.99,input_at,4,17,1.4315872192382812,1,0.3426581621170044,0.8323857188224792,1.4320597648620605,0.12056862562894821,0.4061709940433502,0.0,0.0
40,10,4,0.99,input_at,4,18,1.3194904327392578,1,0.31228795647621155,0.823529064655304,1.4602123498916626,0.11662255972623825,0.4079236686229706,0.0,0.0
