experiment,n_over_m,sparsity,condition,eps_rel,seed,interference,mean_D,recon_fvu,sae_mono,r_set2_mean,pr_mean,D_target,r_set2_target
lat_targeted,8,0.9,lat_targeted,0.1,0,0.31161990761756897,0.10719294846057892,0.2632744249632327,0.8383678197860718,1.0447663581371307,5.380136346817016,0.00013408070662990212,19.59259796142578
baseline,8,0.9,baseline,0.1,1,0.1253054440021515,0.11213944107294083,0.17195073626742036,0.8279131054878235,0.5701219439506531,5.061724764960153,0.47856271266937256,0.5383883118629456
"eps_sweep(lat,eps=0.05)",8,0.9,lat,0.05,1,0.11645004898309708,0.11308187246322632,0.19102060276662727,0.8278401494026184,0.6853720158338547,4.933339846134186,0.48925167322158813,0.6817154884338379
"eps_sweep(lat,eps=0.10)",8,0.9,lat,0.1,1,0.14812953770160675,0.11644144356250763,0.19117490195482204,0.8132173418998718,0.9068097978830337,5.116789436340332,0.5004464983940125,0.8769041895866394
"eps_sweep(lat,eps=0.20)",8,0.9,lat,0.2,1,0.15172134339809418,0.11457495391368866,0.24562871891354895,0.8258137702941895,2.019558034837246,5.763335843880971,0.5544437766075134,1.4699183702468872
"eps_sweep(lat,eps=0.40)",8,0.9,lat,0.4,1,0.3391912579536438,0.11562716960906982,0.4854306828578654,0.8228321075439453,17.720277141441,7.22397194667296,0.920444905757904,1.8732255697250366
input_at,8,0.9,input_at,0.1,1,0.5016775131225586,0.11193559318780899,0.283103887665957,0.8121421933174133,0.5995078635843176,4.792386582023219,0.8558176159858704,0.5160601735115051
lat_targeted,8,0.9,lat_targeted,0.1,1,0.1869683414697647,0.11121775209903717,0.2579876171894396,0.8190557360649109,0.5560379127661387,4.9853057861328125,9.7339880085201e-06,18.902034759521484
baseline,8,0.9,baseline,0.1,2,0.5513302683830261,0.1047084704041481,0.19337862568279213,0.8053199052810669,5.496363734657114,5.712907260114497,0.4629945158958435,0.5138565301895142
"eps_sweep(lat,eps=0.05)",8,0.9,lat,0.05,2,0.5582605004310608,0.10906384885311127,0.1918615233431917,0.8491914868354797,7.819317996501923,5.957328237020052,0.47738489508628845,0.634533166885376
"eps_sweep(lat,eps=0.10)",8,0.9,lat,0.1,2,0.5422560572624207,0.11193481832742691,0.1930230008525471,0.8320491909980774,9.521678292089039,6.268875422301115,0.49010753631591797,0.7796522974967957
"eps_sweep(lat,eps=0.20)",8,0.9,lat,0.2,2,0.44432368874549866,0.11432480812072754,0.221631425224831,0.8707305788993835,11.345217018023781,7.1146234584891275,0.6055543422698975,1.2848845720291138
"eps_sweep(lat,eps=0.40)",8,0.9,lat,0.4,2,0.15482336282730103,0.0898795947432518,0.8254014704550942,0.8282732963562012,18.402136451158768,5.3370207624557695,0.07512401789426804,43.74488830566406
input_at,8,0.9,input_at,0.1,2,0.524296760559082,0.09511622041463852,0.377227255666043,0.8705808520317078,5.8448631134298115,4.974930328792996,8.502472155669238e-06,18.42683982849121
lat_targeted,8,0.9,lat_targeted,0.1,2,0.5318813920021057,0.10504940897226334,0.1965912970409826,0.792741596698761,5.682817949603002,5.99538375933965,0.5198363065719604,0.8227096796035767
