n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
20,10,2,0.99,lat,2,0.012186519793078924,0.06191524863243103,0.03742867708206177,0.03962572291493416,1.0,1.0,0.9990234375,1,80,0.45906004309654236
20,10,2,0.99,lat,3,0.01728297464618535,0.0649060532450676,0.03131910040974617,0.035633623600006104,1.0,1.0,0.9991543889045715,1,80,0.44721800088882446
20,10,2,0.99,lat,4,0.009551845531707945,0.0618029460310936,0.036953993141651154,0.04111015424132347,1.0,1.0,0.9994261860847473,1,80,0.4603399336338043
40,10,4,0.8,baseline,0,0.23074652513695765,0.3038390576839447,0.01163253840059042,0.014787946827709675,7.9998779296875,7.9996337890625,0.7936424612998962,8,160,0.21082213521003723
40,10,4,0.8,baseline,1,0.23001939615825026,0.3133954107761383,0.009049361571669579,0.010309278964996338,7.9998779296875,8.0,0.8711016774177551,8,160,0.22102245688438416
40,10,4,0.8,baseline,2,0.22236853710177323,0.22304460406303406,0.006050216034054756,0.007726621348410845,7.9976806640625,7.99951171875,0.8237568140029907,8,160,0.2285940945148468
40,10,4,0.8,baseline,3,0.22607556301480639,0.3002623915672302,0.0057695405557751656,0.007671174127608538,7.9998779296875,7.9998779296875,0.8419439196586609,8,160,0.22085419297218323
40,10,4,0.8,baseline,4,0.21372494233504816,0.09255492687225342,0.0058116670697927475,0.007719229906797409,8.0,8.0,0.8269403576850891,8,160,0.22794875502586365
40,10,4,0.8,input_at,0,0.23932231932187262,0.35454943776130676,0.010471977293491364,0.013735773041844368,7.999755859375,7.9998779296875,0.8256809115409851,8,160,0.2154015600681305
40,10,4,0.8,input_at,1,0.2503373004855402,0.2690329849720001,0.007958767004311085,0.010961724445223808,7.9998779296875,8.0,0.7841004133224487,8,160,0.21344062685966492
40,10,4,0.8,input_at,2,0.23478844008255528,0.4001278281211853,0.004758869297802448,0.007861584424972534,7.998779296875,7.995849609375,0.8311867713928223,8,160,0.23088660836219788
40,10,4,0.8,input_at,3,0.26480414186770185,0.43343082070350647,0.0056210411712527275,0.008666508831083775,8.0,8.0,0.8239324688911438,8,160,0.21121017634868622
40,10,4,0.8,input_at,4,0.23566142536104898,0.1250905990600586,0.005019584205001593,0.007336322218179703,7.9990234375,7.99951171875,0.7965725064277649,8,160,0.22653624415397644
40,10,4,0.8,lat,0,0.2416370726265259,0.23896093666553497,0.007741858717054129,0.008587493561208248,7.9976806640625,7.99951171875,0.7993103265762329,8,160,0.24140577018260956
